main_threat_actor_id,country,classification,active_since,last_observed,status,targeted_countries_regions,targeted_industries,attck_ttps
APT10,China,Nation State,2006,14/12/2022,,Japan,Health Care; Legal Services; NGOs and think-tanks and religious orgs; Managed Services Provider; Political Organisations,T1566 - Phishing; T1190 - Exploit Public-Facing Application; T1195 - Supply Chain Compromise; T1505 - Server Software Component; T1059 - Command and Scripting Interpreter; T1047 - Windows Management Instrumentation; T1003 - OS Credential Dumping; T1078 - Valid Accounts; T1071 - Application Layer Protocol
APT27,China,Nation State,2010,2021,active,United States; Europe; Middle East; East Asia,Defence and aerospace; Government and public sector; Energy and technology and NGOs/policy orgs,T1190 - Exploit Public-Facing Application; T1505.003 - Server Software Component: Web Shell; T1059.003 - Command and Scripting Interpreter: Windows Command Shell; T1047 - Windows Management Instrumentation; T1021.001 - Remote Services: Remote Desktop Protocol; T1003.001 - OS Credential Dumping: LSASS Memory; T1071.001 - Application Layer Protocol: Web Protocols
APT31,China,Nation State,2016,2021,ongoing,United States; EU/NATO; Hong Kong,Government and political orgs and election ecosystem; Law firms and NGOs and media and technology,T1566 - Phishing; T1203 - Exploitation for Client Execution; T1190 - Exploit Public-Facing Application; T1059.001 - Command and Scripting Interpreter: PowerShell; T1078 - Valid Accounts; T1114.003 - Collection: Email Forwarding Rule; T1071.001 - Application Layer Protocol: Web Protocol
APT41,China,Nation State,2012,2022,active,North America; Europe; Asia,Healthcare and telecoms and tech and gaming and education; Manufacturing and media and software providers,T1190 - Exploit Public-Facing Application; T1195 - Supply Chain Compromise; T1566 - Phishing; T1505.003 - Server Software Component: Web Shell; T1059.001 - Command and Scripting Interpreter: PowerShell; T1078 - Valid Accounts; T1003 - OS Credential Dumping; T1021 - Remote Services; T1071.001 - Application Layer Protocol: Web Protocols
BRONZE BUTLER,China,Nation State,2008,2019,,Japan; South Korea; Asia-Pacific,Defence and aerospace; Heavy industry and chemical and manufacturing; Technology and government entities,T1566.001 - Phishing: Spearphishing Attachment; T1190 - Exploit Public-Facing Application; T1059.003 - Command and Scripting Interpreter: Windows Command Shell; T1105 - Ingress Tool Transfer; T1027 - Obfuscated Files or Information; T1003.001 - OS Credential Dumping: LSASS Memory; T1071.001 - Application Layer Protocol: Web Protocols
Earth Alux,China,Nation State,2023,2025,,Brazil; Malaysia; Philippines; Russia; Taiwan; Thailand,Government; Logistics; Manufacturing; Technology; Software,T1567.002 - Exfiltration Over Web Service: Exfiltration to Cloud Storage; T1087 - Account Discovery; T1680 - Local Storage Discovery; T1003 - OS Credential Dumping
Mustang Panda,China,Nation State,2017,2023,active,EU member states; SE Asia; Taiwan; Mongolia,Government agencies and foreign affairs/diplomatic missions; NGOs and think-tanks and religious orgs; Education and research institutions,T1566 - Phishing; T1059.003 - Command and Scripting Interpreter: Windows Command Shell; T1105 - Ingress Tool Transfer; T1027 - Obfuscated Files or Information; T1560.001 - Archive Collected Data: Archive via Utility; T1071.001 - Application Layer Protocol: Web Protocols
APT15,China,Nation State,2010,2021,active,UK and other EU countries; Latin America; Africa; Asia,Government; Defence and political organisations; Energy and telecom,T1566 - Phishing; T1190 - Exploit Public-Facing Application; T1059.003 - Command and Scripting Interpreter: Windows Command Shell; T1505.003 - Server Software Component: Web Shell; T1078 - Valid Accounts; T1003 - OS Credential Dumping; T1021 - Remote Services; T1071.001 - Application Layer Protocol: Web Protocols
PLUSHDAEMON,China,Nation State,2025,2025,,Cambodia; China; New Zealand; Taiwan; United States,Telecommunications; Government agencies; ISPs; Large managed service providers,T1583 - Acquire Infrastructure; T1608 - Stage Capabilities; T1659 - Content Injection; T1106 - Native API; T1027 - Obfuscated Files or Information; T1036 - Masquerading; T1070 - Indicator Removal; T1016 - System Network Configuration Discovery; T1057 - Process Discovery; T1518 - Software Discovery; T1071 - Application Layer Protocol; T1573 - Encrypted Channel; T1665 - Hide Infrastructure
Salt Typhoon,China,Nation State,2019,2022,ongoing,Middle East; SE Asia; Europe,Government and public sector; Telecoms and IT service providers; NGOs and education,T1190 - Exploit Public-Facing Application; T1505.003 - Server Software Component: Web Shell; T1059.001 - Command and Scripting Interpreter: PowerShell; T1047 - Windows Management Instrumentation; T1014 - Rootkit; T1021 - Remote Services; T1071.001 - Application Layer Protocol: Web Protocols
ShadyPanda,China,Nation State,2023,2025,,Global,Corporate credentials and sessions; Video conferencing and communication; Cryptocurrency wallets,T1583 - Acquire Infrastructure; T1059 - Command and Scripting Interpreter; T1176 - Software Extensions; T1071 - Application Layer Protocol; T1565 - Data Manipulation
Storm-1849,China,Nation State,2024,2025,,US and allied countries,Network infrastructure; Government; Large enterprises,T1190 - Exploit Public-Facing Application; T1505.003 - Server Software Component: Web Shell; T1078 - Valid Accounts; T1021 - Remote Services; T1041 - Exfiltration Over C2 Channel
FireAnt,China,Nation State,2021,2023,active,US; Asia,Defence industrial base; Telecom and technology; Cloud and virtualisation users,T1190 - Exploit Public-Facing Application; T1505.003 - Server Software Component: Web Shell; T1078 - Valid Accounts; T1021.001 - Remote Services: Remote Desktop Protocol; T1003 - OS Credential Dumping; T1105 - Ingress Tool Transfer; T1041 - Exfiltration Over C2 Channel
UTA0178,China,Nation State,2022,2024,active,US; Europe,Government and public sector; Telecom and tech; Manufacturing and critical infrastructure orgs using Ivanti Connect Secure/EPMM,T1190 - Exploit Public-Facing Application; T1505.003 - Server Software Component: Web Shell; T1078 - Valid Accounts; T1105 - Ingress Tool Transfer; T1021 - Remote Services; T1041 - Exfiltration Over C2 Channel
Volt Typhoon,China,Nation State,2019,2024,active and ongoing,US and affiliated territories,Communications and telecom; Electric utilities and energy; Transportation and maritime ports and logistics; Government and critical infrastructure service providers,T1190 - Exploit Public-Facing Application; T1133 - External Remote Services; T1059.001 - Command and Scripting Interpreter: PowerShell; T1047 - Windows Management Instrumentation; T1021.001 - Remote Services: Remote Desktop Protocol; T1090 - Proxy; T1552 - Unsecured Credentials; T1003 - OS Credential Dumping; T1041 - Exfiltration Over C2 Channel
APT28,Russia,Nation State,2004,2024,active,Ukraine; Eastern Europe; NATO/EU members; US,Government (foreign affairs and defense and military); Political organisations and election ecosystems; Media and policy-focused organisations,T1566.001 - Phishing: Spearphishing Attachment; T1190 - Exploit Public-Facing Application; T1059.001 - Command and Scripting Interpreter: PowerShell; T1047 - Windows Management Instrumentation; T1003.001 - OS Credential Dumping: LSASS Memory; T1021.001 - Remote Services: Remote Desktop Protocol; T1071.001 - Application Layer Protocol: Web Protocols
APT29,Russia,Nation State,2008,2024,active,US; NATO/EU; Multilateral organisations,Central government and foreign affairs; Diplomatic missions/embassies; Think-tanks and NGOs; IT/Cloud managed service providers,T1566.002 - Phishing: Spearphishing Link; T1195 - Supply Chain Compromise; T1078 - Valid Accounts; T1078.004 - Valid Accounts: Cloud Accounts; T1114.003 - Email Collection: Email Forwarding Rule; T1550 - Use Alternate Authentication Material; T1098 - Account Manipulation; T1071.001 - Application Layer Protocol: Web Protocols
